 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.21      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.21      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.42      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.57
     33.38      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.28      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.05      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.38      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.21      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.29      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.05      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.43      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.21      0.24      1.04      0.21      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.23      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.21      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.57

 #-----------Update Pop P_ran-----          20 /          20
     phi        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -------------------------------------------------------

 #-----------Update Pop P_com-----          20 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     33.45      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.05      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.22      1.10      0.58
